1,7,17,20,22,30,65,69,113,114,115,120,123,128,132,139,140,149,165,179,180,187,218,219,240,256,259,270,276,281,291,323,351,365,374,393,414,426,427,436,466,474,493,517,528,546,563,565,580,584,592,622,642,653,667,670,688,689,693,721,726,770,781,788,794,797,800,808,820,846,927,992,993,996,1008,1015,1017,1022,1039,1068,1084,1101,1122,1123,1172,1176,1193,1196,1205,1219,1221,1222,1227,1236,1249,1259,1267,1271,1277,1281,1282,1302,1312,1329,1332,1341,1347,1357,CLASSE
129.0,1936.0,10.0,10.0,10.0,17.0,10.0,45.0,10.0,10.0,21.0,10.0,10.0,10.0,10.0,29.0,298.0,10.0,72.0,15.0,10.0,10.0,360.0,10.0,26.0,10.0,40.0,60.0,26.0,10.0,10.0,10.0,86.0,32.0,10.0,61.0,74.0,18.0,10.0,95.0,10.0,26.0,10.0,10.0,10.0,10.0,10.0,14.0,10.0,10.0,47.0,106.0,10.0,26.0,10.0,14.0,1614.0,74.0,10.0,10.0,62.0,10.0,10.0,10.0,10.0,71.0,10.0,110.0,66.0,57.0,26.0,12.0,58.0,10.0,228.0,22.0,10.0,46.0,40.0,10.0,10.0,10.0,10.0,111.0,10.0,1601.0,43.0,10.0,10.0,336.0,52.0,200.0,10.0,81.0,10.0,136.0,10.0,14.0,10.0,127.0,36.0,50.0,10.0,166.0,10.0,158.0,10.0,85.0,6
149.0,157.0,171.0,10.0,144.0,10.0,10.0,1245.0,78.0,10.0,47.0,10.0,54.0,1262.0,3215.0,10.0,10.0,10.0,743.0,418.0,10.0,10.0,16.0,10.0,10.0,10.0,1598.0,146.0,45.0,798.0,15.0,10.0,755.0,2668.0,10.0,10.0,1585.0,10.0,10.0,10.0,25.0,10.0,10.0,10.0,23.0,10.0,10.0,75.0,10.0,28.0,10.0,10.0,39.0,10.0,10.0,18.0,43.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.0,50.0,31.0,16.0,66.0,10.0,10.0,10.0,158.0,10.0,10.0,24.0,55.0,10.0,10.0,10.0,10.0,49.0,11.0,131.0,13.0,32.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,34.0,10.0,18.0,11.0,10.0,10.0,10.0,10.0,4
57.0,40.0,30.0,29.0,10.0,46.0,10.0,10.0,33.0,10.0,1010.0,10.0,10.0,10.0,49.0,10.0,10.0,81.0,49.0,10.0,102.0,58.0,10.0,134.0,10.0,120.0,10.0,427.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,32.0,10.0,632.0,10.0,10.0,10.0,10.0,10.0,101.0,10.0,174.0,96.0,10.0,10.0,10.0,342.0,107.0,1650.0,10.0,30.0,424.0,10.0,1536.0,51.0,61.0,10.0,10.0,10.0,10.0,10.0,225.0,10.0,20.0,10.0,10.0,10.0,10.0,40.0,10.0,92.0,10.0,10.0,10.0,27.0,10.0,10.0,10.0,121.0,107.0,1004.0,10.0,119.0,212.0,71.0,10.0,10.0,1098.0,42.0,10.0,10.0,52.0,10.0,12.0,2593.0,10.0,10.0,35.0,10.0,10.0,212.0,9
10.0,10.0,10.0,120.0,628.0,50.0,10.0,10.0,191.0,10.0,128.0,10.0,25.0,37.0,40.0,10.0,1145.0,10.0,857.0,10.0,6261.0,4422.0,692.0,10.0,10.0,43.0,55.0,6843.0,22.0,10.0,453.0,10.0,10.0,10.0,825.0,83.0,32.0,10.0,10.0,40.0,5763.0,10.0,4997.0,10.0,10.0,10.0,110.0,10.0,10.0,298.0,10.0,358.0,10.0,394.0,17.0,1579.0,10.0,252.0,699.0,294.0,1656.0,61.0,1079.0,10.0,10.0,10.0,10.0,2955.0,118.0,468.0,10.0,39.0,72.0,42.0,10.0,14.0,10.0,42.0,10.0,10.0,10.0,10.0,538.0,10.0,10.0,400.0,235.0,94.0,10.0,10.0,74.0,135.0,110.0,58.0,2126.0,10.0,10.0,10.0,104.0,10.0,10.0,154.0,171.0,49.0,1458.0,10.0,10.0,26.0,9
10.0,116.0,10.0,10.0,10.0,10.0,10.0,93.0,80.0,10.0,64.0,98.0,1784.0,10.0,50.0,15.0,10.0,38.0,10.0,10.0,10.0,10.0,10.0,44.0,10.0,10.0,25.0,10.0,70.0,10.0,90.0,407.0,16.0,10.0,10.0,64.0,38.0,2270.0,35.0,10.0,44.0,10.0,10.0,10.0,10.0,561.0,18.0,10.0,10.0,10.0,10.0,277.0,10.0,143.0,137.0,10.0,6149.0,10.0,10.0,10.0,113.0,10.0,443.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,575.0,135.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,97.0,50.0,10.0,10.0,708.0,84.0,379.0,1349.0,668.0,489.0,160.0,192.0,10.0,192.0,77.0,71.0,10.0,10.0,39.0,10.0,10.0,348.0,117.0,153.0,53.0,111.0,69.0,74.0,2
10.0,10.0,897.0,28.0,10.0,66.0,10.0,337.0,201.0,10.0,10.0,10.0,14052.0,13.0,160.0,63.0,10.0,10.0,10.0,168.0,199.0,10.0,125.0,10.0,113.0,53.0,10.0,10.0,168.0,10.0,10.0,10.0,410.0,99.0,10.0,68.0,10.0,10385.0,10.0,10.0,10.0,15.0,10.0,10.0,10.0,46.0,10.0,47.0,10.0,10.0,55.0,10.0,10.0,10.0,10.0,10.0,463.0,138.0,19.0,10.0,10.0,10.0,83.0,10.0,10.0,87.0,10.0,10.0,10.0,10.0,10.0,125.0,48.0,63.0,196.0,10.0,103.0,18.0,149.0,10.0,28.0,10.0,46.0,10.0,42.0,352.0,25.0,53.0,31.0,77.0,134.0,80.0,10.0,10.0,10.0,10.0,10.0,328.0,10.0,10.0,10.0,37.0,10.0,412.0,10.0,216.0,348.0,353.0,2
10.0,127.0,10.0,10.0,77.0,17.0,10.0,1625.0,10.0,127.0,21.0,10.0,52.0,10.0,16.0,56.0,10.0,78.0,131.0,10.0,1384.0,557.0,10.0,10.0,53.0,10.0,540.0,1924.0,22.0,10.0,21.0,10.0,719.0,131.0,114.0,25.0,104.0,10.0,82.0,10.0,608.0,10.0,10.0,10.0,11.0,11.0,389.0,10.0,10.0,156.0,286.0,10.0,72.0,36.0,22.0,990.0,23.0,10.0,574.0,468.0,772.0,29.0,1818.0,115.0,10.0,10.0,10.0,152.0,112.0,10.0,23.0,13.0,737.0,121.0,10.0,10.0,10.0,10.0,10.0,31.0,10.0,10.0,98.0,33.0,10.0,164.0,18.0,330.0,92.0,10.0,10.0,110.0,10.0,10.0,111.0,50.0,10.0,10.0,102.0,10.0,61.0,359.0,52.0,164.0,10.0,10.0,10.0,10.0,5
54.0,540.0,124.0,10.0,10.0,18.0,22.0,3603.0,10.0,10.0,71.0,54.0,36.0,10.0,17.0,51.0,70.0,10.0,53.0,10.0,64.0,10.0,10.0,57.0,16.0,63.0,29.0,19.0,15.0,46.0,10.0,10.0,3483.0,10.0,10.0,10.0,103.0,10.0,10.0,10.0,10.0,10.0,106.0,10.0,65.0,202.0,10.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0,10.0,44.0,10.0,10.0,10.0,10.0,17.0,10.0,52.0,10.0,185.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,20.0,10.0,41.0,10.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,73.0,98.0,10.0,90.0,14.0,10.0,10.0,10.0,10.0,72.0,10.0,10.0,10.0,34.0,39.0,10.0,43.0,10.0,10.0,62.0,10.0,3
18.0,124.0,10.0,54.0,10.0,52.0,10.0,384.0,17.0,10.0,52.0,10.0,68.0,11.0,10.0,17.0,10.0,10.0,10.0,10.0,35.0,10.0,14.0,10.0,78.0,10.0,33.0,14.0,10.0,10.0,10.0,10.0,470.0,75.0,10.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,592.0,10.0,10.0,10.0,10.0,10.0,105.0,10.0,10.0,10.0,55.0,10.0,10.0,10.0,18.0,39.0,10.0,10.0,10.0,29.0,61.0,10.0,10.0,10.0,32.0,10.0,10.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,46.0,10.0,10.0,10.0,10.0,116.0,47.0,52.0,374.0,10.0,42.0,26.0,10.0,58.0,45.0,10.0,15.0,10.0,10.0,78.0,79.0,53.0,10.0,19.0,11.0,10.0,10.0,22.0,62.0,131.0,10.0,8
